1417152,constanzadl,@FranklinJonas Hope I get to meet you one day hahaha  You are my fave Jonas 
961536,ewc8892,time to start studying for my ap statistics exam on tuesday....  
128066,ChelseyJade92,@jupiterrjd I kno 
1398718,Samivb2,missing my baby 
392245,brightwing,Why is my twitter stuck on mobile version?  
84042,drunkenbones,@petrilude I'm so worried about it!! No Robert Englund...how can it be any good?? I loved that movie 
1039872,lalamedia,translated a spanish comment on my facebook and really wish I didnt 
1664039,airsoft_gunner,is waiting to go to work 
140294,mlynnfrank,"For 4 years i've been only an hour from syracuse or closer, @postsecret exhibit goes there and now i'm too far away "
1466481,xxAnnaSxx,@SBWinner oh I'm sry for u  two years ago we had wintercamp --&gt; skiing all day long lol but summercamp was way better^^
148005,Kiddylicious,@amy_beee he can`t think of a reason how you learned about that fact  how did you find out?
606477,SpangleyGarbage,Going holiday shopping! Yipee!
